,Loss
0,0.2164051
1,0.21711507
2,0.21003386
3,0.22211151
4,0.21443695
5,0.20609927
6,0.2063987
7,0.21789472
8,0.21773039
9,0.2109621
10,0.21760751
11,0.22414008
12,0.21072035
13,0.21799226
14,0.20746341
15,0.21716379
16,0.20521809
17,0.20643885
18,0.20426351
19,0.20287494
20,0.1921944
21,0.20467095
22,0.1939272
23,0.20621757
24,0.21928865
25,0.21347378
26,0.21071184
27,0.21255815
28,0.20972319
29,0.2193961
30,0.19876738
31,0.20163289
32,0.19999105
33,0.21965319
34,0.21899745
35,0.20775087
36,0.21357538
37,0.199016
38,0.21051544
39,0.21101801
40,0.21201085
41,0.21018566
42,0.20922042
43,0.2090996
44,0.20469001
45,0.20579496
46,0.1974944
47,0.22249638
48,0.19953024
49,0.20493154
